city,place,county_name,fips
Austin,4805000,Travis County,48453
Baltimore,2404000,Baltimore city,24510
Boston,2507000,Suffolk County,25025
Charlotte,3712000,Mecklenburg County,37119
Chicago,1714000,Cook County,17031
Cleveland,3916000,Cuyahoga County,39035
Columbus,3918000,Franklin County,39049
Dallas,4819000,Dallas County,48113
Denver,0820000,Denver County,08031
Detroit,2622000,Wayne County,26163
Fort Worth,4827000,Tarrant County,48439
Houston,4835000,Harris County,48201
Indianapolis,1836003,Marion County,18097
Kansas City,2938000,Jackson County,29095
Las Vegas (Metro),3240000,Clark County,32003
Long Beach,0643000,Los Angeles County,06037
Los Angeles,0644000,Los Angeles County,06037
Miami,1245000,Miami-Dade County,12086
Minneapolis,2743000,Hennepin County,27053
New York City,3651000,Kings County,36047
New York City,3651000,Queens County,36081
New York City,3651000,New York County,36061
New York City,3651000,Bronx County,36005
New York City,3651000,Richmond County,36085
Oakland,0653000,Alameda County,06001
Philadelphia,4260000,Philadelphia County,42101
Phoenix,0455000,Maricopa County,04013
Portland,4159000,Multnomah County,41051
San Antonio,4865000,Bexar County,48029
San Diego,0666000,San Diego County,06073
San Francisco,0667000,San Francisco County,06075
San Jose,0668000,Santa Clara County,06085
Seattle,5363000,King County,53033
Washington,1150000,District of Columbia,11001
