city,outcome,outcome_label,outcome_value,exposure,exposure_value,percentile_25,percentile_75,cat,date_of_access,source,geo_level
Austin,Incidence,Cases per 100K,21782.4644462472,% Foreign Born,18.8392597025474,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
Baltimore,Incidence,Cases per 100K,20564.4366798461,% Foreign Born,8.14210090766988,13.8168051502286,26.6321506181401,bottom,2022-06-30,LHD,county
Boston,Incidence,Cases per 100K,29520.6453499031,% Foreign Born,28.3008391549127,13.8168051502286,26.6321506181401,top,2022-06-30,JHU,county
Charlotte,Incidence,Cases per 100K,27852.8861386908,% Foreign Born,16.6923054494562,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
Chicago,Incidence,Cases per 100K,23575.3085216868,% Foreign Born,20.639674571347,13.8168051502286,26.6321506181401,middle,2022-06-29,LHD,city
Cleveland,Incidence,Cases per 100K,75464.7245394283,% Foreign Born,5.89334565331368,13.8168051502286,26.6321506181401,bottom,2022-06-30,LHD,county
Columbus,Incidence,Cases per 100K,35544.5829676753,% Foreign Born,12.7103316476069,13.8168051502286,26.6321506181401,bottom,2022-06-30,LHD,county
Dallas,Incidence,Cases per 100K,22548.8404608131,% Foreign Born,24.797837386105,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
Denver,Incidence,Cases per 100K,27373.0899996092,% Foreign Born,14.9747156932776,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,city
Detroit,Incidence,Cases per 100K,25273.3775663624,% Foreign Born,6.2042762665576,13.8168051502286,26.6321506181401,bottom,2022-06-30,JHU,county
Fort Worth,Incidence,Cases per 100K,28091.3852784577,% Foreign Born,16.816426330711,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
Houston,Incidence,Cases per 100K,23283.5860919985,% Foreign Born,29.3335185800751,13.8168051502286,26.6321506181401,top,2022-06-30,JHU,county
Indianapolis,Incidence,Cases per 100K,27226.6547283986,% Foreign Born,9.6581976685673,13.8168051502286,26.6321506181401,bottom,2022-06-28,LHD,county
Kansas City,Incidence,Cases per 100K,14037.1294303784,% Foreign Born,8.19031093494297,13.8168051502286,26.6321506181401,bottom,2022-06-30,JHU,county
Las Vegas (Metro),Incidence,Cases per 100K,26075.1812450625,% Foreign Born,22.2128832027806,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
Los Angeles,Incidence,Cases per 100K,30798.6488174085,% Foreign Born,36.8633625548786,13.8168051502286,26.6321506181401,top,2022-06-30,JHU,county
Minneapolis,Incidence,Cases per 100K,25066.1394543257,% Foreign Born,15.6020117813877,13.8168051502286,26.6321506181401,middle,2022-06-23,LHD,city
New York City,Incidence,Cases per 100K,26141.0428115538,% Foreign Born,36.8267208405053,13.8168051502286,26.6321506181401,top,2022-06-30,LHD,city
Oakland,Incidence,Cases per 100K,19369.87664039,% Foreign Born,26.8014123835266,13.8168051502286,26.6321506181401,top,2022-06-30,JHU,county
Philadelphia,Incidence,Cases per 100K,21137.0474036984,% Foreign Born,14.0947073444897,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,city
Phoenix,Incidence,Cases per 100K,30507.1569393837,% Foreign Born,19.4124127305472,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
Portland,Incidence,Cases per 100K,17338.3997635119,% Foreign Born,13.4948418620436,13.8168051502286,26.6321506181401,bottom,2022-06-30,JHU,county
San Antonio,Incidence,Cases per 100K,29850.925128232,% Foreign Born,14.3186416132269,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
San Diego,Incidence,Cases per 100K,26612.2085420553,% Foreign Born,26.1243653219805,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
San Francisco,Incidence,Cases per 100K,17722.3899122361,% Foreign Born,34.2832423388014,13.8168051502286,26.6321506181401,top,2022-06-25,LHD,city
San Jose,Incidence,Cases per 100K,36963.5785110296,% Foreign Born,39.7408751666359,13.8168051502286,26.6321506181401,top,2022-06-28,LHD,county
Seattle,Incidence,Cases per 100K,20792.9291323562,% Foreign Born,18.7792435507141,13.8168051502286,26.6321506181401,middle,2022-06-30,JHU,county
Washington,Incidence,Cases per 100K,22279.149554064,% Foreign Born,13.7241710854749,13.8168051502286,26.6321506181401,bottom,2022-06-30,JHU,city
Austin,Incidence,Cases per 100K,21782.4644462472,% Healthcare Worker,6.47427950111,7.58265758269802,9.74066843506018,bottom,2022-06-30,JHU,county
Baltimore,Incidence,Cases per 100K,20564.4366798461,% Healthcare Worker,11.4803765201789,7.58265758269802,9.74066843506018,top,2022-06-30,LHD,county
Boston,Incidence,Cases per 100K,29520.6453499031,% Healthcare Worker,10.5163751054388,7.58265758269802,9.74066843506018,top,2022-06-30,JHU,county
Charlotte,Incidence,Cases per 100K,27852.8861386908,% Healthcare Worker,6.84476301905503,7.58265758269802,9.74066843506018,bottom,2022-06-30,JHU,county
Chicago,Incidence,Cases per 100K,23575.3085216868,% Healthcare Worker,8.67997558367058,7.58265758269802,9.74066843506018,middle,2022-06-29,LHD,city
Cleveland,Incidence,Cases per 100K,75464.7245394283,% Healthcare Worker,11.5401538770995,7.58265758269802,9.74066843506018,top,2022-06-30,LHD,county
Columbus,Incidence,Cases per 100K,35544.5829676753,% Healthcare Worker,10.0582650578692,7.58265758269802,9.74066843506018,top,2022-06-30,LHD,county
Dallas,Incidence,Cases per 100K,22548.8404608131,% Healthcare Worker,7.32148089534346,7.58265758269802,9.74066843506018,bottom,2022-06-30,JHU,county
Denver,Incidence,Cases per 100K,27373.0899996092,% Healthcare Worker,7.70658083900847,7.58265758269802,9.74066843506018,middle,2022-06-30,JHU,city
Detroit,Incidence,Cases per 100K,25273.3775663624,% Healthcare Worker,10.9782933634491,7.58265758269802,9.74066843506018,top,2022-06-30,JHU,county
Fort Worth,Incidence,Cases per 100K,28091.3852784577,% Healthcare Worker,7.57466048209989,7.58265758269802,9.74066843506018,bottom,2022-06-30,JHU,county
Houston,Incidence,Cases per 100K,23283.5860919985,% Healthcare Worker,7.60664888449241,7.58265758269802,9.74066843506018,middle,2022-06-30,JHU,county
Indianapolis,Incidence,Cases per 100K,27226.6547283986,% Healthcare Worker,9.06514032636691,7.58265758269802,9.74066843506018,middle,2022-06-28,LHD,county
Kansas City,Incidence,Cases per 100K,14037.1294303784,% Healthcare Worker,9.67547839029681,7.58265758269802,9.74066843506018,middle,2022-06-30,JHU,county
Las Vegas (Metro),Incidence,Cases per 100K,26075.1812450625,% Healthcare Worker,6.79499580334453,7.58265758269802,9.74066843506018,bottom,2022-06-30,JHU,county
Los Angeles,Incidence,Cases per 100K,30798.6488174085,% Healthcare Worker,8.13225638611531,7.58265758269802,9.74066843506018,middle,2022-06-30,JHU,county
Minneapolis,Incidence,Cases per 100K,25066.1394543257,% Healthcare Worker,9.22067187287958,7.58265758269802,9.74066843506018,middle,2022-06-23,LHD,city
New York City,Incidence,Cases per 100K,26141.0428115538,% Healthcare Worker,11.2063655722268,7.58265758269802,9.74066843506018,top,2022-06-30,LHD,city
Oakland,Incidence,Cases per 100K,19369.87664039,% Healthcare Worker,7.40767077018799,7.58265758269802,9.74066843506018,bottom,2022-06-30,JHU,county
Philadelphia,Incidence,Cases per 100K,21137.0474036984,% Healthcare Worker,13.2876136760171,7.58265758269802,9.74066843506018,top,2022-06-30,JHU,city
Phoenix,Incidence,Cases per 100K,30507.1569393837,% Healthcare Worker,8.14659425584321,7.58265758269802,9.74066843506018,middle,2022-06-30,JHU,county
Portland,Incidence,Cases per 100K,17338.3997635119,% Healthcare Worker,9.66039505627897,7.58265758269802,9.74066843506018,middle,2022-06-30,JHU,county
San Antonio,Incidence,Cases per 100K,29850.925128232,% Healthcare Worker,9.7623984499813,7.58265758269802,9.74066843506018,top,2022-06-30,JHU,county
San Diego,Incidence,Cases per 100K,26612.2085420553,% Healthcare Worker,9.2575299002014,7.58265758269802,9.74066843506018,middle,2022-06-30,JHU,county
San Francisco,Incidence,Cases per 100K,17722.3899122361,% Healthcare Worker,7.83398694558368,7.58265758269802,9.74066843506018,middle,2022-06-25,LHD,city
San Jose,Incidence,Cases per 100K,36963.5785110296,% Healthcare Worker,7.74685614128091,7.58265758269802,9.74066843506018,middle,2022-06-28,LHD,county
Seattle,Incidence,Cases per 100K,20792.9291323562,% Healthcare Worker,8.21359386461548,7.58265758269802,9.74066843506018,middle,2022-06-30,JHU,county
Washington,Incidence,Cases per 100K,22279.149554064,% Healthcare Worker,4.94254002032526,7.58265758269802,9.74066843506018,bottom,2022-06-30,JHU,city
Austin,Incidence,Cases per 100K,21782.4644462472,% Hispanic,33.9141382004971,10.7297914851693,34.8012400365087,middle,2022-06-30,JHU,county
Baltimore,Incidence,Cases per 100K,20564.4366798461,% Hispanic,5.28428719673186,10.7297914851693,34.8012400365087,bottom,2022-06-30,LHD,county
Boston,Incidence,Cases per 100K,29520.6453499031,% Hispanic,19.8365233299093,10.7297914851693,34.8012400365087,middle,2022-06-30,JHU,county
Charlotte,Incidence,Cases per 100K,27852.8861386908,% Hispanic,14.278450010205,10.7297914851693,34.8012400365087,middle,2022-06-30,JHU,county
Chicago,Incidence,Cases per 100K,23575.3085216868,% Hispanic,28.7934013745537,10.7297914851693,34.8012400365087,middle,2022-06-29,LHD,city
Cleveland,Incidence,Cases per 100K,75464.7245394283,% Hispanic,11.931520289035,10.7297914851693,34.8012400365087,middle,2022-06-30,LHD,county
Columbus,Incidence,Cases per 100K,35544.5829676753,% Hispanic,6.16934891805048,10.7297914851693,34.8012400365087,bottom,2022-06-30,LHD,county
Dallas,Incidence,Cases per 100K,22548.8404608131,% Hispanic,41.8075291670299,10.7297914851693,34.8012400365087,top,2022-06-30,JHU,county
Denver,Incidence,Cases per 100K,27373.0899996092,% Hispanic,29.8957164075876,10.7297914851693,34.8012400365087,middle,2022-06-30,JHU,city
