outcome,outcome_label,city,percentile_25,percentile_75,top_lab,bot_lab,bottom,top,rate_diff,rr,date_of_access,source,geo_level
% Fully Vaccinated,% Fully Vaccinated,Austin,37.64,70.68,Highest College Education,Lowest College Education,43.3508333333333,58.7008333333333,15.35,1.35408777224582,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Chicago,20.08,71.54,Highest College Education,Lowest College Education,35.5306666666667,70.804,35.2733333333333,1.99275743020114,2021-06-12,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Dallas,15.17,55.11,Highest College Education,Lowest College Education,32.9493333333333,62.042,29.0926666666667,1.88295160246034,2021-05-29,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Fort Worth,14.85,39.92,Highest College Education,Lowest College Education,29.1890909090909,48.7154545454546,19.5263636363636,1.66896100660272,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Houston,12.15,46.7,Highest College Education,Lowest College Education,33.0312903225807,65.1141935483871,32.0829032258064,1.97128822133461,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Indianapolis,18.94,46.38,Highest College Education,Lowest College Education,31.9488888888889,55.9133333333333,23.9644444444444,1.75008694442512,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Long Beach,16.95,42.96,Highest College Education,Lowest College Education,39.474,56.05,16.576,1.41992197395754,2021-05-11,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Los Angeles,21.8,60.8,Highest College Education,Lowest College Education,39.3775,63.523,24.1455,1.61318011554822,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,New York City,25.92,51.33,Highest College Education,Lowest College Education,42.7597777777778,68.7208888888889,25.9611111111111,1.60713858818516,2021-06-17,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Oakland,36.32,68.85,Highest College Education,Lowest College Education,46.5175,70.4425,23.925,1.51432256677594,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Philadelphia,16.31,50.98,Highest College Education,Lowest College Education,29.9958333333333,51.5541666666667,21.5583333333333,1.7187109320739,2021-06-14,LHD,city
% Fully Vaccinated,% Fully Vaccinated,San Antonio,11.31,45.11,Highest College Education,Lowest College Education,35.4153333333333,66.3693333333333,30.954,1.87402819870866,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,San Diego,30.37,63.41,Highest College Education,Lowest College Education,50.725,68.399,17.674,1.34842779694431,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,San Francisco,49.77,73.23,Highest College Education,Lowest College Education,62.3,64.3785714285714,2.07857142857144,1.0333639073607,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,San Jose,36.98,54.77,Highest College Education,Lowest College Education,59.81875,70.6625,10.84375,1.18127677358688,2021-06-16,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Austin,83.27,97.82,Highest High School Education,Lowest High School Education,41.5133333333333,58.1708333333333,16.6575,1.40125662437771,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Chicago,82.66,95.92,Highest High School Education,Lowest High School Education,39.0633333333333,69.884,30.8206666666667,1.78899223483232,2021-06-12,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Dallas,70.84,93.12,Highest High School Education,Lowest High School Education,31.5846666666667,60.7671428571429,29.1824761904762,1.92394440943315,2021-05-29,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Fort Worth,77.28,92.81,Highest High School Education,Lowest High School Education,32.8090909090909,44.1654545454546,11.3563636363636,1.34613466334165,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Houston,69.41,92.76,Highest High School Education,Lowest High School Education,33.9432258064516,63.5448387096774,29.6016129032258,1.87209191819357,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Indianapolis,82.88,91.89,Highest High School Education,Lowest High School Education,31.4377777777778,55.4366666666667,23.9988888888889,1.7633773945006,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Long Beach,71.8,91.92,Highest High School Education,Lowest High School Education,40.334,56.05,15.716,1.38964645212476,2021-05-11,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Los Angeles,66.34,94.31,Highest High School Education,Lowest High School Education,39.8925,65.2165,25.324,1.63480604123582,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,New York City,78.08,90.31,Highest High School Education,Lowest High School Education,45.3846666666667,66.248,20.8633333333333,1.45970004553667,2021-06-17,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Oakland,82.05,95.46,Highest High School Education,Lowest High School Education,48.8525,64.0075,15.155,1.31021953840643,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Philadelphia,82.17,90.96,Highest High School Education,Lowest High School Education,32.2633333333333,46.6591666666667,14.3958333333333,1.44619795433413,2021-06-14,LHD,city
% Fully Vaccinated,% Fully Vaccinated,San Antonio,71.54,94.09,Highest High School Education,Lowest High School Education,36.5333333333333,59.6,23.0666666666667,1.63138686131387,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,San Diego,82.73,97.01,Highest High School Education,Lowest High School Education,51.002,61.806,10.804,1.21183483000667,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,San Francisco,87.81,95.35,Highest High School Education,Lowest High School Education,66.2142857142857,63.0242857142857,-3.19,0.951823085221143,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,San Jose,78.99,93.8,Highest High School Education,Lowest High School Education,57.9175,72.22125,14.30375,1.24696766952993,2021-06-16,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Austin,12.56,21.65,Highest Foreign Born,Lowest  Foreign Born,59.8175,43.57,-16.2475,0.728382162410666,,LHD,city
% Fully Vaccinated,% Fully Vaccinated,Chicago,11.8,29.56,Highest Foreign Born,Lowest  Foreign Born,35.248,48.92,13.672,1.38788016341353,2021-06-12,LHD,city
