city,zcta,cases_per_100k,tests_per_100k,pct_positive,hosp_per_100k,deaths_per_100k,date_of_access,source,geo_level
Austin,78617,12938.127,,,,,2021-11-18,LHD,city
Austin,78652,14216.598,,,,,2021-11-18,LHD,city
Austin,78653,16349.278,,,,,2021-11-18,LHD,city
Austin,78660,13211.391,,,,,2021-11-18,LHD,city
Austin,78701,10213.864,,,,,2021-11-18,LHD,city
Austin,78702,12196.358,,,,,2021-11-18,LHD,city
Austin,78703,7125.006,,,,,2021-11-18,LHD,city
Austin,78704,8780.208,,,,,2021-11-18,LHD,city
Austin,78705,8000.232,,,,,2021-11-18,LHD,city
Austin,78712,7500,,,,,2021-11-18,LHD,city
Austin,78717,795.903,,,,,2021-11-18,LHD,city
Austin,78719,18665.886,,,,,2021-11-18,LHD,city
Austin,78721,11428.571,,,,,2021-11-18,LHD,city
Austin,78722,8217.27,,,,,2021-11-18,LHD,city
Austin,78723,8218.334,,,,,2021-11-18,LHD,city
Austin,78724,15052.677,,,,,2021-11-18,LHD,city
Austin,78725,21927.028,,,,,2021-11-18,LHD,city
Austin,78726,7193.732,,,,,2021-11-18,LHD,city
Austin,78727,6907.496,,,,,2021-11-18,LHD,city
Austin,78728,10783.432,,,,,2021-11-18,LHD,city
Austin,78729,1742.075,,,,,2021-11-18,LHD,city
Austin,78730,5345.302,,,,,2021-11-18,LHD,city
Austin,78731,5912.521,,,,,2021-11-18,LHD,city
Austin,78732,6743.532,,,,,2021-11-18,LHD,city
Austin,78733,5544.976,,,,,2021-11-18,LHD,city
Austin,78735,9022.183,,,,,2021-11-18,LHD,city
Austin,78736,6130.08,,,,,2021-11-18,LHD,city
Austin,78739,5342.205,,,,,2021-11-18,LHD,city
Austin,78741,11275.281,,,,,2021-11-18,LHD,city
Austin,78742,14768.884,,,,,2021-11-18,LHD,city
Austin,78744,14215.031,,,,,2021-11-18,LHD,city
Austin,78745,8700.147,,,,,2021-11-18,LHD,city
Austin,78746,6592.562,,,,,2021-11-18,LHD,city
Austin,78747,12444.698,,,,,2021-11-18,LHD,city
Austin,78748,9279.229,,,,,2021-11-18,LHD,city
Austin,78749,6130.228,,,,,2021-11-18,LHD,city
Austin,78750,4411.672,,,,,2021-11-18,LHD,city
Austin,78751,6353.028,,,,,2021-11-18,LHD,city
