outcome,outcome_label,exposure,top_lab,bot_lab,bot_value,top_value,rate_diff,rr
% Fully Vaccinated,% Fully Vaccinated,% Foreign Born,Highest % Foreign Born,Lowest % Foreign Born,59.72,74.62,14.8987777208292,1.24947857421015
% Fully Vaccinated,% Fully Vaccinated,% Hispanic,Highest % Hispanic,Lowest % Hispanic,62.74,61.09,-1.65081123776835,0.973688670340312
% Fully Vaccinated,% Fully Vaccinated,% NH-Black,Highest % NH Black,Lowest % NH Black,74.35,61.91,-12.4359115831832,0.832727104340087
% Fully Vaccinated,% Fully Vaccinated,% NH Asian/PI,Highest % NH Asian/PI,Lowest % NH Asian/PI,55.8,78.72,22.9170702778269,1.41071245497547
% Fully Vaccinated,% Fully Vaccinated,% NH Native American,Highest % NH Native American,Lowest % NH Native American,65.71,73.33,7.62740818515823,1.11608537747212
% Fully Vaccinated,% Fully Vaccinated,% NH White,Highest % NH White,Lowest % NH White,64.16,70.13,5.96751240095526,1.09301048793491
% Fully Vaccinated,% Fully Vaccinated,% Overcrowding,Highest % Overcrowding,Lowest % Overcrowding,58.8,74.29,15.4897379738856,1.26343196250328
% Fully Vaccinated,% Fully Vaccinated,% Poverty,Highest Poverty,Lowest Poverty,75.51,61.66,-13.8524294563434,0.81655741530277
% Fully Vaccinated,% Fully Vaccinated,% Production Worker,Highest % Production Workers,Lowest % Production Workers,75.83,60.09,-15.7342846458353,0.792494112643646
% Fully Vaccinated,% Fully Vaccinated,% Service Worker,Highest % Service Worker,Lowest % Service Worker,65.53,63.56,-1.96800286487529,0.969966565937789
% Fully Vaccinated,% Fully Vaccinated,Dissimilarity: Hispanic and NH-White,Highest Segregation (Hispanic and White),Lowest Segregation (Hispanic and White),69.7,66.13,-3.57315199618678,0.94873717724428
% Fully Vaccinated,% Fully Vaccinated,Dissimilarity: NH-Black and NH-White,Highest Segregation (Black and White),Lowest Segregation (Black and White),72.84,68.04,-4.80068069391537,0.934094454259608
% Fully Vaccinated,% Fully Vaccinated,GINI,Highest Income Inequality,Lowest Income Inequality,66.09,67.08,0.99081431521715,1.01499106754025
% Fully Vaccinated,% Fully Vaccinated,Isolation: Hispanic,Highest Segregation (Hispanic),Lowest Segregation (Hispanic),66.51,59.35,-7.16064283461746,0.892335470051383
% Fully Vaccinated,% Fully Vaccinated,Isolation: NH-Black,Highest Segregation (NH Black),Lowest Segregation (NH Black),73.43,63.36,-10.0738789767006,0.862815260765973
% Fully Vaccinated,% Fully Vaccinated,Population,Largest Population,Smallest Population,67.96,66.21,-1.75175604269789,0.974225091616165
% Fully Vaccinated,% Fully Vaccinated,Population Density,Highest Population Density,Lowest Population Density,59.92,71.12,11.201970666782,1.18695103145599
% Fully Vaccinated,% Fully Vaccinated,Social Vulnerability Index (SVI),Most Socially Vulnerable,Least Socially Vulnerable,73.68,59.75,-13.938569579266,0.810835023107904
% Fully Vaccinated,% Fully Vaccinated,SVI -  Housing Type & Transportation,Most Socially Vulnerable,Least Socially Vulnerable,55.83,75.31,19.4802367139631,1.34891061952145
% Fully Vaccinated,% Fully Vaccinated,SVI - Household Composition & Disability,Most Socially Vulnerable,Least Socially Vulnerable,79.93,58.39,-21.5411690553696,0.730503166276613
% Fully Vaccinated,% Fully Vaccinated,SVI - Minority Status & Language,Most Socially Vulnerable,Least Socially Vulnerable,63.07,71.35,8.27314983782267,1.13116675384038
% Fully Vaccinated,% Fully Vaccinated,SVI - Socioeconomic,Most Socially Vulnerable,Least Socially Vulnerable,77.23,60.24,-16.9918686890273,0.779979049325494
% Partially Vaccinated,% Partially Vaccinated,% Foreign Born,Highest % Foreign Born,Lowest % Foreign Born,7.33,8.53,1.20167715365296,1.1638970875006
% Partially Vaccinated,% Partially Vaccinated,% Hispanic,Highest % Hispanic,Lowest % Hispanic,6.69,9.81,3.118852262409,1.46595096160773
% Partially Vaccinated,% Partially Vaccinated,% NH-Black,Highest % NH Black,Lowest % NH Black,9.89,11.47,1.58321302146377,1.16005730651963
% Partially Vaccinated,% Partially Vaccinated,% NH Asian/PI,Highest % NH Asian/PI,Lowest % NH Asian/PI,9.26,8.34,-0.913408739189027,0.901307230879234
% Partially Vaccinated,% Partially Vaccinated,% NH Native American,Highest % NH Native American,Lowest % NH Native American,9.8,8.64,-1.1583904224039,0.881777217470074
% Partially Vaccinated,% Partially Vaccinated,% NH White,Highest % NH White,Lowest % NH White,8.33,8.6,0.266849338873705,1.03202201836044
% Partially Vaccinated,% Partially Vaccinated,% Overcrowding,Highest % Overcrowding,Lowest % Overcrowding,12.48,8.9,-3.58548156821371,0.712742970545297
% Partially Vaccinated,% Partially Vaccinated,% Poverty,Highest Poverty,Lowest Poverty,9.96,10.65,0.690446390692037,1.06929211332933
% Partially Vaccinated,% Partially Vaccinated,% Production Worker,Highest % Production Workers,Lowest % Production Workers,9.77,8.09,-1.67724511660739,0.828362350394385
% Partially Vaccinated,% Partially Vaccinated,% Service Worker,Highest % Service Worker,Lowest % Service Worker,7.64,9.99,2.34097436057815,1.30623882175741
% Partially Vaccinated,% Partially Vaccinated,Dissimilarity: Hispanic and NH-White,Highest Segregation (Hispanic and White),Lowest Segregation (Hispanic and White),10.85,10.46,-0.391933494769603,0.96387486622538
% Partially Vaccinated,% Partially Vaccinated,Dissimilarity: NH-Black and NH-White,Highest Segregation (Black and White),Lowest Segregation (Black and White),8.45,11.98,3.53531047608718,1.41860350883777
% Partially Vaccinated,% Partially Vaccinated,GINI,Highest Income Inequality,Lowest Income Inequality,10.59,9.8,-0.790785353379963,0.925342536261096
% Partially Vaccinated,% Partially Vaccinated,Isolation: Hispanic,Highest Segregation (Hispanic),Lowest Segregation (Hispanic),6.21,9.5,3.29254782204452,1.53013766994196
% Partially Vaccinated,% Partially Vaccinated,Isolation: NH-Black,Highest Segregation (NH Black),Lowest Segregation (NH Black),9.89,11.07,1.1741743159122,1.1187049221056
% Partially Vaccinated,% Partially Vaccinated,Population,Largest Population,Smallest Population,6.34,12.14,5.79576442526883,1.91414522829874
% Partially Vaccinated,% Partially Vaccinated,Population Density,Highest Population Density,Lowest Population Density,11.31,11.08,-0.236479477405773,0.97909539645683
% Partially Vaccinated,% Partially Vaccinated,Social Vulnerability Index (SVI),Most Socially Vulnerable,Least Socially Vulnerable,8.01,11.32,3.31053475152388,1.41314857589152
% Partially Vaccinated,% Partially Vaccinated,SVI -  Housing Type & Transportation,Most Socially Vulnerable,Least Socially Vulnerable,8.74,11.57,2.82952082652042,1.32367639964154
% Partially Vaccinated,% Partially Vaccinated,SVI - Household Composition & Disability,Most Socially Vulnerable,Least Socially Vulnerable,8.81,12.64,3.8253566027657,1.4341639521018
% Partially Vaccinated,% Partially Vaccinated,SVI - Minority Status & Language,Most Socially Vulnerable,Least Socially Vulnerable,6.54,8.63,2.09457675812915,1.32037359444907
% Partially Vaccinated,% Partially Vaccinated,SVI - Socioeconomic,Most Socially Vulnerable,Least Socially Vulnerable,7.55,11.37,3.81521717944575,1.505093402711
% with at least one dose,% with at least one dose,% Foreign Born,Highest % Foreign Born,Lowest % Foreign Born,55.6,83.15,27.54769300998,1.49542351451849
% with at least one dose,% with at least one dose,% Hispanic,Highest % Hispanic,Lowest % Hispanic,63.14,71.74,8.59854373209753,1.13618910724376
% with at least one dose,% with at least one dose,% NH-Black,Highest % NH Black,Lowest % NH Black,85.71,71.32,-14.3932465215693,0.83207648309565
% with at least one dose,% with at least one dose,% NH Asian/PI,Highest % NH Asian/PI,Lowest % NH Asian/PI,63.82,86.72,22.8973732189275,1.35875825807746
% with at least one dose,% with at least one dose,% NH Native American,Highest % NH Native American,Lowest % NH Native American,75.84,83.06,7.22130019726338,1.09522066095393
% with at least one dose,% with at least one dose,% NH White,Highest % NH White,Lowest % NH White,72.49,84.74,12.245537736002,1.16892057559586
% with at least one dose,% with at least one dose,% Overcrowding,Highest % Overcrowding,Lowest % Overcrowding,69.66,83.19,13.5263135988631,1.19417759104375
% with at least one dose,% with at least one dose,% Poverty,Highest Poverty,Lowest Poverty,86.72,71.81,-14.9058821360373,0.828112994471254
% with at least one dose,% with at least one dose,% Production Worker,Highest % Production Workers,Lowest % Production Workers,86.34,69.78,-16.5625683836916,0.8081728063874
% with at least one dose,% with at least one dose,% Service Worker,Highest % Service Worker,Lowest % Service Worker,75.56,73.78,-1.78099143854315,0.976430241335433
% with at least one dose,% with at least one dose,Dissimilarity: Hispanic and NH-White,Highest Segregation (Hispanic and White),Lowest Segregation (Hispanic and White),79.47,76.59,-2.8810762922929,0.963745417149526
% with at least one dose,% with at least one dose,Dissimilarity: NH-Black and NH-White,Highest Segregation (Black and White),Lowest Segregation (Black and White),82.09,81.37,-0.723472772709314,0.991187241885799
% with at least one dose,% with at least one dose,GINI,Highest Income Inequality,Lowest Income Inequality,79,76.87,-2.13146893014712,0.973018441308157
% with at least one dose,% with at least one dose,Isolation: Hispanic,Highest Segregation (Hispanic),Lowest Segregation (Hispanic),72.34,69.25,-3.08803744940843,0.957313772012879
% with at least one dose,% with at least one dose,Isolation: NH-Black,Highest Segregation (NH Black),Lowest Segregation (NH Black),85.71,73.9,-11.8127924391046,0.862182194415768
% with at least one dose,% with at least one dose,Population,Largest Population,Smallest Population,77.02,79.67,2.6522999787866,1.03443582440684
% with at least one dose,% with at least one dose,Population Density,Highest Population Density,Lowest Population Density,73.66,82.85,9.18829589428043,1.12473672858854
% with at least one dose,% with at least one dose,Social Vulnerability Index (SVI),Most Socially Vulnerable,Least Socially Vulnerable,81.59,71.93,-9.66110389233855,0.881594808021993
% with at least one dose,% with at least one dose,SVI -  Housing Type & Transportation,Most Socially Vulnerable,Least Socially Vulnerable,60.26,87.97,27.7064290328837,1.45976801508236
% with at least one dose,% with at least one dose,SVI - Household Composition & Disability,Most Socially Vulnerable,Least Socially Vulnerable,88.93,71.6,-17.3342045875491,0.805084069792877
% with at least one dose,% with at least one dose,SVI - Minority Status & Language,Most Socially Vulnerable,Least Socially Vulnerable,61.46,79.98,18.5158304294311,1.30124997319608
% with at least one dose,% with at least one dose,SVI - Socioeconomic,Most Socially Vulnerable,Least Socially Vulnerable,86.59,72.55,-14.0447247681989,0.837810528408576
