city,adjusted,type,type_label,race_ethnicity,value,labs,date_of_access,source,geo_level
Austin,FALSE,% Fully Vaccinated,% Fully Vaccinated,Hispanic,45,% Fully Vaccinated,2021-12-09,State,county
Austin,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Asian/PI,71.3,% Fully Vaccinated,2021-12-09,State,county
Austin,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Black,34.6,% Fully Vaccinated,2021-12-09,State,county
Austin,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH White,57.9,% Fully Vaccinated,2021-12-09,State,county
Boston,FALSE,% Fully Vaccinated,% Fully Vaccinated,Hispanic,55.9,% Fully Vaccinated,2021-11-30,LHD,city
Boston,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Asian/PI,81.5,% Fully Vaccinated,2021-11-30,LHD,city
Boston,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Black,55.4,% Fully Vaccinated,2021-11-30,LHD,city
Boston,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Native American,38.3,% Fully Vaccinated,2021-11-30,LHD,city
Boston,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH White,63.3,% Fully Vaccinated,2021-11-30,LHD,city
Chicago,FALSE,% Fully Vaccinated,% Fully Vaccinated,Hispanic,57.7,% Fully Vaccinated,2021-12-08,LHD,city
Chicago,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Asian/PI,75.4,% Fully Vaccinated,2021-12-08,LHD,city
Chicago,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Black,46.3,% Fully Vaccinated,2021-12-08,LHD,city
Chicago,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Native American,100,% Fully Vaccinated,2021-12-08,LHD,city
Chicago,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH White,69.8,% Fully Vaccinated,2021-12-08,LHD,city
Dallas,FALSE,% Fully Vaccinated,% Fully Vaccinated,Hispanic,47.4,% Fully Vaccinated,2021-12-09,State,county
Dallas,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Asian/PI,66.1,% Fully Vaccinated,2021-12-09,State,county
Dallas,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Black,35.6,% Fully Vaccinated,2021-12-09,State,county
Dallas,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH White,50.1,% Fully Vaccinated,2021-12-09,State,county
Detroit,FALSE,% Fully Vaccinated,% Fully Vaccinated,Hispanic,53.4,% Fully Vaccinated,2021-12-09,LHD,city
Detroit,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Asian/PI,24.5,% Fully Vaccinated,2021-12-09,LHD,city
Detroit,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Black,25.4,% Fully Vaccinated,2021-12-09,LHD,city
Detroit,FALSE,% Fully Vaccinated,% Fully Vaccinated,NH Native American,22.7,% Fully Vaccinated,2021-12-09,LHD,city
