city,zcta,pct_fully_vaccinated,pct_partially_vaccinated,pct_ge1_dose,date_of_access,source,geo_level
Long Beach,90802,53.98,8.39,62.37,2021-07-27,LHD,city
Long Beach,90803,61.13,7.8,68.93,2021-07-27,LHD,city
Long Beach,90804,46.2,7.61,53.81,2021-07-27,LHD,city
Long Beach,90805,43.1,7.31,50.42,2021-07-27,LHD,city
Long Beach,90806,47.89,8.16,56.05,2021-07-27,LHD,city
Long Beach,90807,58.71,7.66,66.37,2021-07-27,LHD,city
Long Beach,90808,59.26,7.32,66.58,2021-07-27,LHD,city
Long Beach,90810,50.36,7.34,57.7,2021-07-27,LHD,city
Long Beach,90813,38.01,7.29,45.31,2021-07-27,LHD,city
Long Beach,90814,55.62,7.22,62.83,2021-07-27,LHD,city
Long Beach,90815,59.52,11.4,70.92,2021-07-27,LHD,city
Los Angeles,90001,49.14,26.49,75.64,2021-07-27,LHD,city
Los Angeles,90002,37.67,8.63,46.31,2021-07-27,LHD,city
Los Angeles,90003,37.53,9.23,46.76,2021-07-27,LHD,city
Los Angeles,90004,56.48,8.62,65.1,2021-07-27,LHD,city
Los Angeles,90005,51.56,9.12,60.67,2021-07-27,LHD,city
Los Angeles,90006,48.13,10.11,58.24,2021-07-27,LHD,city
Los Angeles,90007,53.92,7.81,61.73,2021-07-27,LHD,city
Los Angeles,90008,45.65,7.41,53.06,2021-07-27,LHD,city
Los Angeles,90010,86.29,12.35,98.64,2021-07-27,LHD,city
Los Angeles,90011,37.71,12.81,50.52,2021-07-27,LHD,city
Los Angeles,90012,68.27,10.3,78.57,2021-07-27,LHD,city
Los Angeles,90013,63.34,20.49,83.83,2021-07-27,LHD,city
Los Angeles,90014,60.35,12.29,72.64,2021-07-27,LHD,city
Los Angeles,90015,59.33,11.68,71.01,2021-07-27,LHD,city
Los Angeles,90016,53.02,8.27,61.29,2021-07-27,LHD,city
Los Angeles,90017,48.31,11.87,60.18,2021-07-27,LHD,city
Los Angeles,90018,46.63,9.76,56.39,2021-07-27,LHD,city
Los Angeles,90019,53.37,8.59,61.96,2021-07-27,LHD,city
Los Angeles,90020,58.36,8.72,67.09,2021-07-27,LHD,city
Los Angeles,90021,75.93,19.39,95.31,2021-07-27,LHD,city
Los Angeles,90023,47.96,8.68,56.64,2021-07-27,LHD,city
Los Angeles,90024,46,5.29,51.3,2021-07-27,LHD,city
Los Angeles,90025,61.28,6.57,67.85,2021-07-27,LHD,city
Los Angeles,90026,54.38,7.47,61.85,2021-07-27,LHD,city
Los Angeles,90027,63.78,6.92,70.7,2021-07-27,LHD,city
